S_1,C1_Sae1,C1_Sae2,mm,Conductor,Flute_1,Flute_2,Oboe_1,Oboe_2,Clarinet_1,Clarinet_2,Bassoon_1,Bassoon_2,Horn_1,Horn_2,Horn_3,Horn_4,Trumpet_1,Trumpet_2,Trumpet_3,Trombone_1,Trombone_2,Trombone_Bass,Tuba,Perc_Tympani,Perc_Batt,Perc_GC,Harp,Vn_solo,Violin_1,Violin_2,Va_solo,Viola,Vc_Solo,Cello,Contrabass,RD_Sae1,RD_Sae2,RR_Saev
414.813968254,413.813968254,402.0664852608030,140.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,405.13206349209500,385.5217233560410,373.16580498869400
415.085714286,414.085714286,402.3224489795920,140.13,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,405.4038095240950,385.79346938804100,373.41414966015000
415.683628118,414.683628118,402.8893424037140,140.38,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,406.0017233560950,386.39138322004100,374.0120634921500
416.444081633,415.444081633,403.64979591871400,140.75,,,,,,,,,,,,,,,0.0,0.0,,,0.0,1.0,,,,,,,,,,,,,406.76217687109500,387.1518367350410,374.7491156466050
417.227755102,416.227755102,404.43346938771400,141.13,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,407.54585034009500,387.9355102040410,375.48598639451700
417.456326531,416.456326531,404.6620408167140,141.25,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,407.7744217690950,388.1172789119520,375.6911564629730
418.540408163,417.540408163,405.72272108817000,141.75,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,408.8585034010950,389.1311564623200,376.72843537388400
419.036734694,418.036734694,406.21904761917000,142.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,409.3548299320950,389.6274829933200,377.2247619048840
419.271111111,418.271111111,406.4300226756260,142.13,,,,,,,,,,,,,,1.0,,,,,,0.0,,1.0,,,,,,,,,,,409.58920634909500,389.8618594103200,377.3889342402520
420.584489796,419.584489796,407.7200000000820,142.75,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.87918367355100,391.1284353742310,378.6789115647080
421.159183673,420.159183673,408.2946938770820,143.0,,,,,,,,,,,,,,0.0,,,,,,1.0,0.0,,,,,,,,,,,,411.4304761900070,391.58612244851000,379.25360544170700
424.313469388,423.313469388,411.378775510449,144.5,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,414.53795918391800,394.6000000002450,382.1972789118100
429.664943311,428.664943311,416.6132426307280,147.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,,,,,,,,,,419.6554195014760,399.5536507939930,387.1509297055580
429.952290249,428.952290249,416.8771882081840,147.13,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.94276643947600,399.8409977319930,387.4382766435580
431.672380952,430.672380952,418.52707482955100,148.0,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,421.56925170029900,401.4206802717280,389.06476190438100
432.193015873,431.193015873,419.04770975055100,148.25,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,1.0,1.0,1.0,422.08988662129900,401.94131519272800,389.53859410429300
432.772063492,431.772063492,419.57995464846300,148.5,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,422.645532879755,402.4969614511840,390.1176417232930
433.70521542,432.70521542,420.4663038553740,149.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.5786848077550,403.3833106580950,390.9337868485710
435.687619048,434.687619048,422.4253061228300,150.0,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,425.49088435412200,405.2487074833740,392.8225850343950
436.166530612,435.166530612,422.90421768683000,150.25,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,1.0,1.0,1.0,425.9697959181220,405.70421768683000,393.30149659839400
437.707755102,436.707755102,424.35183673465300,151.0,,0.0,0.0,,,,,1.0,1.0,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,427.48761904757800,407.15183673465300,394.7257142856740
437.960272109,436.960272109,424.60435374165300,151.13,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,427.74013605457800,407.40435374165300,394.9782312926730
438.206984127,437.206984127,424.85106575965300,151.25,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,427.96344671203400,407.6510657596530,395.22494331067300
438.709115646,437.709115646,425.3297959181090,151.5,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,428.4187755099460,408.1063945575650,395.63346938749700
439.66984127,438.66984127,426.26712018156500,152.0,,,,,,,,1.0,1.0,,,,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,429.35609977340100,409.06712018156500,396.5473922904080
439.925260771,438.925260771,426.5225396825650,152.13,,,,,,,,,,,,,,1.0,,0.0,,,,,,1.0,,,,,,,,,,,429.58811791385700,409.2757369614760,396.75600907032000
440.186485261,439.186485261,426.78376417256500,152.25,,1.0,1.0,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,429.8493424038570,409.4667573698440,396.9938321997760
440.743764172,439.743764172,427.3176417230200,152.5,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,430.38321995431300,410.0240362808440,397.5277097502310
441.272018141,440.272018141,427.8224943314760,152.75,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,430.9114739233130,410.50548752875500,397.9623582770540
441.765442177,440.765442177,428.31591836747600,153.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,431.3814965987690,410.99891156475500,398.4557823130550
442.020861678,441.020861678,428.5319727891160,153.13,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,431.6369160997690,411.2543310657550,398.7112018140550
442.273015873,441.273015873,428.7532879818440,153.25,,,,,,,,,,,,,,,,1.0,,,0.0,1.0,,,,,,,,,,,,,431.8890702947690,411.4830839002110,398.96335600905400
442.781315193,441.781315193,429.2615873018440,153.5,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,432.3973696147690,411.9913832202110,399.4440816326530
443.70430839,442.70430839,430.1845804988440,154.0,,,,,,,,1.0,1.0,,,,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,433.3203628117690,412.8675736961220,400.2542403627890
443.966984127,442.966984127,430.4472562358440,154.13,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,433.5830385487690,413.1302494331220,400.51691609978900
444.213333333,443.213333333,430.6936054418440,154.25,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,433.8293877547690,413.3765986391220,400.7632653057890
444.733968254,443.733968254,431.19083900229900,154.5,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,434.3032199546800,413.85043083903400,401.2604988662450
445.241904762,444.241904762,431.67537414975500,154.75,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,434.81115646268000,414.358367347034,401.7684353742450
445.734603175,444.734603175,432.14467120221100,155.0,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,0.0,,0.0,,,,,,,,,,435.2804535151360,414.78086167840100,402.21433106615700
448.748843537,447.748843537,435.06530612203400,156.5,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,438.2010884349590,417.6780952376800,404.94775510162600
451.514920635,450.514920635,437.8079818594900,158.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,440.9671655329590,420.3505668935030,407.6436281179930
451.738412698,450.738412698,438.03147392249000,158.13,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,441.1906575959590,420.57405895650300,407.86712018099300
452.998095238,451.998095238,439.24435374140100,158.75,,0.0,0.0,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,442.4503401359590,421.78693877541500,409.1268027209930
453.475555556,452.475555556,439.7218140594010,159.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,442.8809977328710,422.1941950117820,409.5340589573610
455.302675737,454.302675737,441.50213151931300,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.68471655332700,423.95111111115000,411.26757369618400
455.804807256,454.804807256,442.00426303831300,160.25,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.18684807232700,424.4532426301500,411.7697052151840
456.28952381,455.28952381,442.4889795923130,160.5,,1.0,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,445.67156462632700,424.89115646306100,412.2076190480950
456.787301587,455.787301587,442.98675736931300,160.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.16934240332700,425.3187301584290,412.65859410400700
457.227029478,456.227029478,443.4264852603130,161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.6090702943270,425.75845804942900,413.0983219950070
458.109387755,457.109387755,444.28544217676900,161.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.4680272107820,426.5940136053400,413.9104761903740
459.067210884,458.067210884,445.2432653057690,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.4258503397820,427.55183673434000,414.86829931937400
460.62585034,459.62585034,446.6614965985030,162.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.9142857141500,428.9466666665310,416.42693877537400
