,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
-10.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-78.68502,-80.0,-79.00246,-73.05718,-74.21951,-80.0,-77.296074,-70.40659,-67.59161,-67.81793,-71.630646,-80.0,-72.3324,-67.31201,-67.33582,-72.20785,-76.08675,-69.96687,-67.93059,-70.65352,-78.44223,-68.84682,-64.60242,-63.116585,-63.506653,-64.44406,-63.113663,-60.818275,-59.097862,-58.767254,-60.66947,-63.369484,-66.03049,-66.715355,-65.78162,-61.781902,-58.10172,-57.28234,-59.411865,-62.528343,-64.3607,-66.74122,-66.07855,-64.28132,-63.687805,-62.452637,-60.129066,-59.151443,-60.11779,-63.88037,-72.18599,-65.974495,-64.11517,-64.906204,-63.605236,-64.066086,-66.455536,-70.09855,-72.293304,-71.61124,-72.84668,-77.19392,-67.68199,-64.3694,-64.742325,-67.57886,-71.960464,-80.0,-69.64304
-9.977,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-75.26373,-71.897,-74.1524,-78.141235,-77.6154,-71.89105,-71.9698,-73.73901,-75.22793,-72.141624,-66.438965,-62.282738,-65.33089,-68.26327,-66.03154,-62.531128,-62.75118,-61.312237,-59.009285,-63.632217,-72.354935,-64.540245,-60.159687,-65.19029,-62.809166,-62.460545,-67.91319,-66.297745,-60.910324,-77.61602,-67.65529,-80.0,-75.76156,-80.0,-68.099236,-57.912792,-54.100323,-63.846275,-60.68782,-62.61794,-65.31422,-65.078964,-62.00547,-64.89631,-64.601395,-59.402733,-58.615677,-59.156628,-62.051994,-78.31334,-62.64122,-63.761925,-65.51965,-61.951942,-62.291878,-64.792786,-69.36381,-69.2305,-67.12364,-67.546394,-68.965065,-64.051346,-62.096672,-63.06224,-67.5038,-71.22679,-74.35461,-67.0307
-9.954,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-79.46184,-79.292786,-80.0,-80.0,-80.0,-79.878876,-80.0,-80.0,-79.66371,-80.0,-78.25651,-75.6815,-77.36601,-79.95966,-80.0,-80.0,-78.32813,-75.64624,-71.69121,-62.390144,-60.067184,-58.015686,-64.14168,-67.75406,-64.772156,-64.776245,-64.71779,-69.9991,-75.13118,-65.44061,-56.843693,-59.61821,-80.0,-61.0523,-61.48566,-73.50177,-63.322342,-61.20311,-68.55528,-76.13249,-80.0,-73.083046,-76.81193,-64.633026,-54.589508,-53.637993,-56.170593,-68.79282,-65.51276,-71.10926,-64.04451,-69.500374,-69.86715,-61.933533,-62.012997,-61.825226,-61.67847,-63.251755,-59.67708,-65.19299,-66.40038,-62.082603,-61.823204,-64.11531,-70.92639,-67.73039,-64.08101,-63.618538,-63.984493,-61.6938,-60.634274,-61.68532,-68.05572,-70.51526,-69.6178,-64.21995
-9.93,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-78.50148,-78.08388,-75.341515,-76.91113,-80.0,-80.0,-75.57765,-73.34831,-73.16567,-80.0,-74.45922,-75.81884,-74.68736,-74.825386,-76.74861,-73.63919,-67.63281,-65.68342,-63.089966,-59.011295,-62.694653,-74.22728,-76.95471,-63.115646,-60.37937,-57.327522,-58.82524,-69.888016,-65.00005,-59.446934,-62.09763,-67.787415,-71.14731,-62.885693,-67.997345,-73.12341,-73.11073,-73.322174,-71.80818,-59.069958,-53.083447,-52.466217,-57.64415,-62.925472,-69.79224,-68.346985,-71.84578,-67.71176,-64.8401,-68.54426,-67.36869,-63.75006,-58.609455,-57.72965,-64.52819,-65.96348,-64.52386,-62.501965,-64.229904,-74.72469,-67.32242,-62.36166,-60.481625,-60.69986,-60.482086,-59.943142,-60.607037,-68.153824,-69.78029,-65.86119,-61.573524
-9.907,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-78.39555,-78.75241,-80.0,-80.0,-78.28068,-78.958725,-80.0,-77.96673,-76.233505,-74.3195,-77.01836,-76.638824,-66.890686,-64.6396,-66.1472,-70.77488,-65.071495,-64.315,-71.48925,-64.12118,-67.96569,-67.8822,-64.44306,-67.238556,-68.46446,-74.76126,-69.31076,-63.285526,-59.981247,-64.840744,-62.734703,-61.792046,-64.01253,-59.19496,-62.725796,-61.77018,-61.099644,-79.12828,-70.51848,-69.95479,-63.194496,-68.61121,-56.94238,-54.681717,-61.437214,-60.73412,-67.573235,-66.784805,-66.65088,-63.814926,-62.256645,-64.81515,-67.81261,-64.73748,-57.671844,-57.252884,-61.57937,-65.50819,-69.51611,-65.07637,-64.49088,-80.0,-68.30632,-61.659935,-57.91745,-58.612766,-60.226593,-59.906807,-59.896797,-67.01493,-68.828094,-62.700367,-59.30612
-9.884,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-79.78328,-74.84345,-72.03114,-77.18362,-74.91524,-72.93413,-74.44887,-80.0,-80.0,-75.41322,-68.61788,-64.12103,-64.89991,-69.82982,-71.37529,-64.05455,-61.279465,-60.693764,-68.39663,-74.303375,-65.34239,-61.80281,-57.421776,-58.54683,-59.305588,-66.46386,-60.501205,-60.654243,-64.241035,-57.69623,-60.741005,-60.837784,-67.059326,-68.6501,-76.276825,-60.932793,-60.5328,-58.234108,-59.956806,-72.11093,-62.96252,-64.57672,-66.83416,-64.1138,-61.809406,-60.78619,-63.38595,-68.102295,-65.02604,-58.788277,-58.83497,-60.12894,-65.969864,-77.745674,-71.03392,-64.4488,-72.64609,-71.17895,-61.19763,-55.996277,-57.474533,-60.709476,-60.414536,-59.60829,-65.74782,-66.92502,-59.9717,-57.429813
-9.861,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-78.8625,-77.80104,-80.0,-80.0,-80.0,-79.848495,-76.96401,-78.10904,-78.69415,-79.62515,-80.0,-80.0,-78.52004,-77.6423,-74.670685,-72.792725,-74.539856,-68.56651,-68.276855,-68.9543,-63.429825,-61.367878,-66.495926,-75.640884,-63.755074,-61.36475,-69.95978,-71.164665,-66.00605,-73.35087,-63.36184,-63.791046,-63.99402,-64.22481,-71.01895,-62.79933,-79.26398,-61.5169,-59.732964,-59.11231,-58.541473,-58.744114,-56.785023,-55.573616,-62.03562,-60.657795,-61.41996,-68.392166,-60.83927,-74.07919,-69.21944,-68.03218,-64.308655,-62.337173,-65.99496,-70.142426,-68.60736,-60.53987,-64.22757,-60.442036,-66.14765,-77.34485,-80.0,-64.56502,-65.26656,-69.772766,-59.81116,-54.7714,-57.243324,-61.701202,-61.3706,-59.724403,-65.2725,-64.12511,-57.69542,-55.925926
-9.837,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-74.25631,-75.86026,-80.0,-80.0,-80.0,-80.0,-75.748886,-73.24348,-74.130615,-77.293465,-80.0,-72.99685,-71.92843,-78.53102,-75.21516,-71.23326,-70.50101,-68.72237,-63.757008,-65.55669,-70.97777,-67.57144,-78.43909,-69.97833,-72.78732,-71.07835,-69.42417,-67.364,-68.784134,-69.766716,-73.81546,-62.488697,-60.60472,-64.004974,-58.802223,-62.703503,-59.986336,-59.74951,-64.190575,-60.474567,-53.34666,-56.237686,-73.656845,-60.26597,-57.58873,-60.169846,-64.67019,-71.90095,-71.29749,-75.1092,-66.113754,-75.29738,-75.886284,-69.778656,-61.921303,-80.0,-62.25865,-66.33803,-74.11052,-77.717476,-64.7907,-61.89778,-64.18663,-57.565136,-54.124886,-58.17449,-62.71234,-62.580402,-60.043392,-65.6283,-61.207687,-55.886997,-54.778595
-9.814,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-72.48523,-69.883995,-73.13804,-78.72257,-71.60887,-68.82025,-67.40094,-67.80244,-76.242676,-74.999,-77.31907,-73.461685,-72.22299,-75.015045,-77.39522,-74.0517,-65.10848,-63.84284,-62.917,-56.937054,-57.63596,-63.584316,-64.86932,-61.93654,-67.300354,-58.551044,-58.71469,-65.63628,-60.71405,-54.45877,-59.55254,-61.913963,-55.711464,-57.26165,-70.20729,-61.554775,-63.9037,-69.27278,-70.49672,-66.69031,-73.40042,-74.50943,-66.23778,-61.936516,-66.290955,-64.86664,-68.52153,-72.873505,-72.207954,-65.112,-60.688446,-60.263527,-55.479286,-53.83236,-60.914223,-62.787724,-62.980515,-60.025887,-66.0459,-58.74545,-54.557446,-53.94441
