S_1,RehNo,Structure,Theme,mm,Conductor,Flute_1,Flute_2,Oboe_1,Oboe_2,Clarinet_1,Clarinet_2,Bassoon_1,Bassoon_2,Horn_1,Horn_2,Horn_3,Horn_4,Trumpet_1,Trumpet_2,Trumpet_3,Trombone_1,Trombone_2,Trombone_Bass,Tuba,Perc_Tympani,Perc_Batt,Perc_GC,Harp,Vn_solo,Violin_1,Violin_2,Va_solo,Viola,Vc_Solo,Cello,Contrabass,C1_Sae1,C1_Sae2,RD_Sae1,RD_Sae2,RR_Saev
398.5549206,,,,132.25,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,397.5549206,386.5031292517010,389.15383216462600,370.2923355659860,357.79600903537400
399.6277551,,,,132.75,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,398.6277551,387.5121088414970,390.22666666462600,371.318367344898,358.7986394537420
402.475102,,,,134.13,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,401.475102,390.2424489387760,393.0272108435370,374.00190472108800,361.52897955102000
402.7428571,,,,134.25,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,401.7428571,390.5102040387760,393.2949659435370,374.24625846054400,361.7967346510200
403.8269388,,,,134.75,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,402.8269388,391.5110204081630,394.3556462829930,375.2236734693880,362.75074829932000
404.362449,,,,135.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,403.362449,392.0361904965990,394.8443537619050,375.72544219727900,363.25251702721100
404.6432653,,,,135.13,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,403.6432653,392.3170067965990,395.1251700619050,376.0062584972790,363.5333333272110
406.4609524,,,,136.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,405.4609524,394.0410884544220,396.9194558013610,377.7069387945580,365.2340136244900
406.6946032,,,,136.13,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,405.6946032,394.25133789387800,397.1531066013610,377.8937868734690,365.4208617034010
406.9790476,,,,136.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,405.9790476,394.53578229387800,397.4375510013610,378.1782312734690,365.70530610340100
408.0152381,,,,136.75,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,407.0152381,395.5485714333330,398.4737415013610,379.1910204129250,366.7180952428570
408.5638095,,,,137.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,407.5638095,396.05034011224500,398.97551018027200,379.71619045238100,367.21986392176900
408.8380952,,,,137.13,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,407.8380952,396.32462581224500,399.24979588027200,379.9436734312930,367.4941496217690
411.4488889,,,,138.38,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,410.4488889,398.8184127095240,401.81378685918400,382.390657607483,369.9645351585030
412.215873,,T1,b,138.75,,0.0,0.0,,,,,,,1.0,1.0,1.0,1.0,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,,,411.215873,399.53859408843500,402.5807709591840,383.1342403469390,370.6613151768710
412.7477551,16.0,,,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.7477551,400.0470748278910,403.1126530591840,383.6661224469390,371.12299319523800
413.0438095,,,,139.13,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,412.0438095,400.3431292278910,403.3853060986400,383.9289795918370,371.4190475952380
413.328254,,,,139.25,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,412.328254,400.6275737278910,403.6697505986400,384.15301590476200,371.7034920952380
414.3542857,,,,139.75,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,413.3542857,401.60680270680300,404.6723809380950,385.13224488367400,372.7061224346940
414.8139683,,,,140.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,413.8139683,402.06648530680300,405.13206353809500,385.5217234020410,373.1658050346940
415.0857143,,,,140.13,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,414.0857143,402.3224489795920,405.40380953809500,385.7934694020410,373.41414967415000
415.6836281,,,,140.38,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,414.6836281,402.8893423857140,406.00172333809500,386.39138320204100,374.0120634741500
416.4440816,,,,140.75,,,,,,,,,,,,,,,0.0,0.0,,,0.0,1.0,,,,,,,,,,,,,415.4440816,403.64979588571400,406.7621768380950,387.1518367020410,374.7491156136050
417.2277551,,,,141.13,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,416.2277551,404.43346938571400,407.5458503380950,387.9355102020410,375.48598639251700
417.4563265,,,,141.25,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,416.4563265,404.6620407857140,407.77442173809500,388.11727888095200,375.6911564319730
418.5404082,,,,141.75,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,417.5404082,405.72272112517000,408.8585034380950,389.13115649932000,376.72843541088400
419.0367347,,,,142.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,418.0367347,406.21904762517000,409.3548299380950,389.6274829993200,377.2247619108840
419.2711111,,,,142.13,,,,,,,,,,,,,,1.0,,,,,,0.0,,1.0,,,,,,,,,,,418.2711111,406.4300226646260,409.58920633809500,389.8618593993200,377.3889342292520
420.5844898,,,e,142.75,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.5844898,407.72000000408200,410.879183677551,391.12843537823100,378.67891156870700
421.1591837,,,,143.0,,,,,,,,,,,,,,0.0,,,,,,1.0,0.0,,,,,,,,,,,,420.1591837,408.29469390408200,411.43047621700700,391.5861224755100,379.2536054687080
424.3134694,,,,144.5,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,423.3134694,411.37877552244900,414.53795919591800,394.6000000122450,382.1972789238100
429.0829932,,T2,f,146.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.0829932,416.05469388027200,419.1202721115650,399.0185034040820,386.5689795945580
429.6649433,17.0,,,147.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,,,,,,,,,,428.6649433,416.6132426197280,419.6554194904760,399.5536507829930,387.1509296945580
429.9522902,,,,147.13,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.9522902,416.8771881591840,419.94276639047600,399.8409976829930,387.4382765945580
431.672381,,,,148.0,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,430.672381,418.527074877551,421.5692517482990,401.42068031972800,389.0647619523810
432.1930159,,,,148.25,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,1.0,1.0,1.0,431.1930159,419.04770977755100,422.08988664829900,401.94131521972800,389.53859413129300
432.7720635,,,,148.5,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,431.7720635,419.5799546564630,422.64553288775500,402.49696145918400,390.1176417312930
433.7052154,,,,149.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.7052154,420.4663038353740,423.5786847877550,403.3833106380950,390.9337868285710
435.687619,,,,150.0,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,434.687619,422.4253060748300,425.49088430612200,405.2487074353740,392.8225849863950
436.1665306,,,,150.25,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,1.0,1.0,1.0,435.1665306,422.90421767483000,425.9697959061220,405.70421767483000,393.3014965863950
437.2897959,,T1,b,150.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.2897959,423.9572788931970,427.06965984557800,406.7338775326530,394.3077550836740
437.7077551,,,,151.0,,0.0,0.0,,,,,1.0,1.0,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,436.7077551,424.3518367326530,427.4876190455780,407.1518367326530,394.7257142836740
437.9602721,,,,151.13,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,436.9602721,424.604353732653,427.74013604557800,407.404353732653,394.9782312836730
438.2069841,,,,151.25,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,437.2069841,424.85106573265300,427.96344668503400,407.6510657326530,395.22494328367300
438.7091156,,,,151.5,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,437.7091156,425.32979587210900,428.4187754639460,408.10639451156500,395.63346934149700
439.6698413,,,,152.0,,,,,,,,1.0,1.0,,,,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,438.6698413,426.26712021156500,429.3560998034010,409.0671202115650,396.54739232040800
439.9252608,,,a,152.13,,,,,,,,,,,,,,1.0,,0.0,,,,,,1.0,,,,,,,,,,,438.9252608,426.5225397115650,429.58811794285700,409.27573699047600,396.7560090993200
440.1864853,,,,152.25,,1.0,1.0,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,439.1864853,426.7837642115650,429.84934244285700,409.46675740884400,396.99383223877600
440.7437642,,,,152.5,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,439.7437642,427.3176417510200,430.38321998231300,410.02403630884400,397.5277097782310
441.2720181,,,,152.75,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,440.2720181,427.82249429047600,430.9114738823130,410.5054874877550,397.96235823605400
441.7654422,,,,153.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,440.7654422,428.3159183904760,431.3814966217690,410.9989115877550,398.4557823360550
442.0208617,,,,153.13,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,441.0208617,428.5319727891160,431.6369161217690,411.2543310877550,398.7112018360550
442.2730159,,,,153.25,,,,,,,,,,,,,,,,1.0,,,0.0,1.0,,,,,,,,,,,,,441.2730159,428.7532880088440,431.8890703217690,411.4830839272110,398.96335603605400
442.7813152,,,,153.5,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,441.7813152,429.2615873088440,432.3973696217690,411.99138322721100,399.4440816326530
443.2544218,,,,153.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.2544218,429.73469390884400,432.8704762217690,412.4644898272110,399.8043537727890
443.7043084,,,,154.0,,,,,,,,1.0,1.0,,,,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,442.7043084,430.1845805088440,433.3203628217690,412.8675737061220,400.2542403727890
443.9669841,,,a,154.13,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,442.9669841,430.4472562088440,433.5830385217690,413.1302494061220,400.51691607278900
444.2133333,,,,154.25,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,443.2133333,430.6936054088440,433.8293877217690,413.3765986061220,400.7632652727890
444.7339683,,,,154.5,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,443.7339683,431.1908390482990,434.3032200006800,413.8504308850340,401.26049891224500
445.2419048,,,e,154.75,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,444.2419048,431.67537418775500,434.8111565006800,414.358367385034,401.7684354122450
445.7346032,18.0,,,155.0,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,0.0,,0.0,,,,,,,,,,444.7346032,432.1446712272110,435.2804535401360,414.7808617034010,402.2143310911570
448.7488435,,,,156.5,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,447.7488435,435.065306085034,438.2010883979590,417.6780952006800,404.9477550646260
451.5149206,,,,158.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,450.5149206,437.8079818244900,440.9671654979590,420.3505668585030,407.6436280829930
451.7384127,,,,158.13,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,450.7384127,438.0314739244900,441.1906575979590,420.5740589585030,407.8671201829930
452.0126984,,,,158.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.0126984,438.3057596244900,441.46494329795900,420.8483446585030,408.1414058829930
452.9980952,,Co.,e,158.75,,0.0,0.0,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,451.9980952,439.2443537034010,442.4503400979590,421.78693873741500,409.12680268299300
453.4755556,,,,159.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,452.4755556,439.7218141034010,442.8809977768710,422.1941950557820,409.5340590013610
455.3026757,,,,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.3026757,441.50213148231300,444.68471651632700,423.95111107415000,411.26757365918400
455.8048073,,,,160.25,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.8048073,442.00426308231300,445.18684811632700,424.4532426741500,411.7697052591840
456.2895238,,,,160.5,,1.0,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,455.2895238,442.4889795823130,445.6715646163270,424.8911564530610,412.2076190380950
456.7873016,,,,160.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.7873016,442.98675738231300,446.1693424163270,425.31873017142900,412.6585941170070
457.2270295,,,,161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.2270295,443.4264852823130,446.6090703163270,425.75845807142900,413.0983220170070
458.1093878,,,,161.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.1093878,444.2854422217690,447.4680272557820,426.59401365034000,413.91047623537400
459.0672109,,,,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.0672109,445.2432653217690,448.4258503557820,427.55183675034000,414.86829933537400
460.6258503,,End,,162.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.6258503,446.6614965585030,449.91428567415000,428.9466666265310,416.42693873537400
