S_1,RehNo,Structure,Theme,mm,Conductor,Flute_1,Flute_2,Oboe_1,Oboe_2,Clarinet_1,Clarinet_2,Bassoon_1,Bassoon_2,Horn_1,Horn_2,Horn_3,Horn_4,Trumpet_1,Trumpet_2,Trumpet_3,Trombone_1,Trombone_2,Trombone_Bass,Tuba,Perc_Tympani,Perc_Batt,Perc_GC,Harp,Vn_solo,Violin_1,Violin_2,Va_solo,Viola,Vc_Solo,Cello,Contrabass,C1_Sae1,C1_Sae2,RD_Sae1,RD_Sae2,RR_Saev
139.9727891,,,c,28.75,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,138.9727891,135.5327891,134.29251699115600,129.0506122292520,119.6666666510200
140.9393197,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,139.9393197,136.4993197,135.25904759115600,130.0171428292520,120.58639452993200
143.612517,,,,29.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,142.612517,139.172517,137.93224489115600,132.38612244217700,123.11918366666700
144.622585,3.0,,,30.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,143.622585,140.18258500000000,138.94231289115600,133.39619044217700,124.01224486394600
147.992381,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,146.992381,143.6927891632650,142.21850344898000,136.461768755102,126.84380957142900
150.517551,,,,31.75,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,149.517551,146.3583673265310,144.7202720884350,138.963537414966,129.22857140816300
151.3708844,,,,32.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,150.3708844,147.28190480816300,145.55020412789100,139.58285718911600,130.08190480816300
153.7306122,,,d,32.75,,0.0,,,,0.0,,0.0,,0.0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,152.7306122,149.78204077142900,147.81632648571400,141.91918362857100,132.30122444489800
155.0715646,,,,33.25,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,154.0715646,151.19319725306100,149.11047616462600,143.26013602857100,133.64217684489800
156.4821769,,,,33.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.4821769,152.6974149952380,150.49768710408200,144.67074832857100,135.07619050544200
