,AU814,AU801,AU808,AU803,AU804,AU815,AU812,AU810,AU811,AU805,AU809,AU806,AU802,AU813,AU807
-15.0,492.7276410256512,436.0,496.0,466.0,535.2757948718285,498.3658461539392,516.2455499999943,500.0,497.0,607.0033846152711,502.0,497.70456410257464,525.4296410256566,476.429076923098,494.607128205144
-14.96,493.0,436.2404615384751,496.0,465.924205128196,537.3270769230827,504.2664102564897,515.2262051282,500.0,497.0,598.8244615384483,502.0,497.26979487178494,528.9618461538757,479.33733333336005,495.0
-14.92,493.7789230769396,437.0,496.0,463.87292307690126,539.1891794871888,509.1156923077116,514.2005641025526,500.9532820513025,497.7122564102775,591.5435384614644,502.0,497.7558461538624,532.298307692349,481.5829230769686,495.0
-14.88,494.0,437.0,496.0,461.8216410256066,540.4296410256721,513.2182564103008,514.0,501.0,498.73789743590766,582.3299499998761,502.0,498.0,536.9587179488183,484.2199487179514,495.65841025641635
-14.84,494.0,437.3173846153994,496.0,459.6555384614759,542.0,516.9906153846676,513.1492820512779,501.0,499.7615856777558,573.31276923063,502.0,498.0,542.0869230769598,485.24558974359877,495.3159487179363
-14.8,494.0,438.0,496.0,456.719076923064,542.2661025641074,520.0648081842087,512.123641025634,501.0,500.78661538462694,564.0819999998259,502.1635384615452,498.0,548.0581538462102,486.54246153849215,495.709692307711
-14.76,494.0,438.3686666666707,496.7814871794944,454.6686445012549,542.7082564102452,522.7578461538783,512.0,501.0,501.8122564102743,555.1087979539354,503.0,498.0,555.0806666667768,488.59374358977306,496.0
-14.72,494.9045641025836,439.0,497.0,452.2432820512261,542.0,525.2136923077159,512.0,501.0,503.6757948718041,547.9449743589336,503.0,497.11594871794483,562.2441432226277,490.94335000000854,496.0
-14.68,494.0697948717907,439.394307692319,497.0,448.35553846149264,541.6655499999785,527.8604102564386,512.0,501.0,504.86353846154566,540.9418461537729,503.0,497.90969230769986,569.4216923077043,494.2900512820736,496.0
-14.64,494.955846153855,440.41994871796635,497.0,445.27861538460564,540.3139487179152,529.455846153856,512.0,501.1071282051408,506.7339000000172,534.7879999999172,503.0,498.0,575.6581538461903,498.74076923082856,496.0
-14.6,495.0,441.89117948720656,497.0,442.4677948717757,538.6313333333255,530.9629743589813,511.0,502.0,508.77835897438786,529.0894358974298,503.0,498.0,580.8433333333954,503.86897435906536,496.8378974359049
-14.56,496.00712820514946,443.9424615384753,497.0,440.715549999986,537.2113846153565,532.507128205138,510.96979487177396,502.0,510.82964102568246,524.9868717948406,503.31738461539845,498.0,583.9083500000396,508.9971794872554,497.86353846154844
-14.52,497.0327692307737,446.49061538465503,497.93533333334994,440.0,534.740153846122,532.4672307692147,510.0558461538508,502.0,511.94046153846665,521.1632307691883,503.6569743589701,498.0,584.9943076923274,514.1253846154221,498.0
-14.48,498.11390000002035,449.0450256410646,498.0,440.0,532.1088205128137,531.4430179027938,510.91851282050186,502.0,513.9322051282252,517.7817435896902,503.36866666667726,498.0,583.9601025640972,518.3521538461953,498.0
-14.44,500.1747826087298,451.0963076923339,498.0,440.6860512820635,530.057538461519,530.4185128205029,510.0,502.0,514.99174358976,514.3395897435828,504.0,498.0378974359142,581.8632307692037,520.952717948736,498.0
-14.4,503.24446153849993,453.14758974360745,498.0,442.73733333335815,527.5093846153366,528.2241499999903,509.8730499999828,502.0,517.0173846154069,511.9324615384323,504.0,499.0,578.7863076922617,522.502000000003,498.0
-14.36,506.32138461543457,455.79830769235326,498.0,445.1829230769793,524.954974358954,525.7857435897287,509.0,502.0,518.0430256410314,508.8555384614902,504.0,499.0,575.6125128204352,522.4723589743495,498.0
-14.32,509.5310769230854,458.8752307692516,497.93646153846,448.6797948718559,522.9036923076817,523.101692307651,508.8441538461515,502.30969230770353,519.0686666666787,506.1857435897178,504.0,499.11482051283286,571.5099487179302,520.3401538461067,498.0
-14.28,513.633641025675,463.2535897436125,496.91082051281256,452.3367692307935,520.852410256387,520.0247692307089,508.0,503.0,520.1886153846477,504.13446153845075,504.0,500.1404615384769,567.4073846153408,516.1053846153417,499.0
-14.24,517.7362051282643,468.3817948718491,495.88517948716526,454.9424615384903,518.8011282050924,517.6318974358766,508.0,503.0,522.2398974359,502.55304999999095,504.49687179489155,501.1661025641042,563.3048205127515,510.9771794871542,499.0
-14.2,521.838769230834,474.91400000012004,495.0,456.0,517.3749230769133,514.8709230768948,507.76723076921496,503.0,524.4367692307922,502.45841025642295,505.0,502.0,559.4016923076355,505.84897435891736,499.06610256411216
-14.16,525.7060000000122,481.3658461538849,495.0,456.52251282051657,515.6985641025495,512.5330946291323,507.2584102564145,503.0,527.5136923077341,503.96810256414057,505.0,502.21482051282965,556.3247692307496,501.38332480812716,500.0
-14.12,528.7829230769543,487.51969230773096,494.8364615384428,458.09630769232785,514.3253708439797,510.4831794871458,508.0,503.0,530.9843589744373,507.0387692308228,505.0,503.240461538477,553.4985641025382,497.2843076922324,500.1173846154041
-14.08,531.5732307692641,492.78778054865137,494.1891794871851,460.14758974362246,513.3005641025494,507.64784615383167,507.69030769229084,503.4378974359077,536.1125641025802,512.747333333391,505.0,504.2661025641181,551.1709230768848,493.25219999991634,501.2860512820617
-14.04,533.6245128205443,497.1054358974699,494.78517948716757,462.19887179488916,512.2930499999832,504.5709230769047,507.0,504.0,541.2097500000403,521.6097435898895,505.62251282052114,505.58348717949656,548.3959999999956,489.8863076922788,503.3373333333564
-14.0,535.3378974359034,502.01000000007394,494.24046153847974,464.2501538461651,510.54984615383614,502.3293333333085,507.0,504.0,546.2407692308217,533.6260000000937,506.0,507.0,546.346393861879,488.26979487178585,505.38861538465096
-13.96,536.3626086956625,505.4829230769863,495.0,465.6507179487299,509.2492820512772,500.2780512820139,507.0,504.5148205128366,551.638567775028,549.4083589744246,506.0,507.6860512820859,544.3160999999848,486.48830769227703,507.65984615390306
-13.92,537.0,507.7065641025792,495.0,466.6594500000144,508.2236410256298,499.1133846153802,507.0,505.0,557.7812307693384,567.4821538463374,506.69943589745435,509.3686666666817,542.6492820512715,484.43702564101875,510.4911794871938
-13.879999999999999,536.5877435897335,510.63676923080067,495.0,468.3527179487564,507.1979999999824,498.09007672633936,507.0,505.56610256410795,563.9350769231772,586.6072307695449,507.72507692308477,510.7886153846287,541.2472820512482,482.3857435897342,513.084923076977
-13.84,536.0,511.9045641025809,495.0,469.0,506.1723589743544,497.0646666666575,507.0,506.0,569.7407692308053,604.0268717949798,508.0,512.4094500000105,539.1959999999724,479.50169230765937,516.890615384654
-13.8,535.562102564099,511.06979487179353,495.36866666666975,469.72764102564946,504.29343589742217,497.0,507.0,506.6173846154026,574.4951794872335,618.292666666742,508.776358974373,513.4199487179626,537.5723589743528,477.28317948714493,519.9675384615467
-13.76,534.5364615384516,508.1324615384434,496.0,470.0,503.1210769230637,497.0,507.0,507.64302564103497,578.1983076923393,626.442769230842,509.0,514.8911794871991,536.5467179487055,475.2318974358914,523.3926153846518
-13.72,533.0216410256085,503.0925641025025,496.0,470.0,501.1908717948328,497.0,507.0,509.33733333334783,580.0,628.0,509.80200000002134,516.0,535.0421538461163,473.1806153846022,527.0933500000393
-13.68,530.9703589743377,494.92871794853295,496.44558974360143,470.0,500.0697948717907,498.0367692307864,507.0,510.6943076923213,580.0,623.2495384615006,510.82764102564937,516.4968717948813,533.4954358974226,471.1293333333075,530.1213846154337
-13.64,528.3786153845987,484.63953846152043,497.0,468.33958974356887,499.044153846145,501.1136923077283,507.0,512.4398974359373,580.0,612.1913846152918,511.0,517.5225128205286,533.0,469.07805128201284,532.7988717948984
-13.6,525.867794871771,473.3574871793994,497.0,466.28830769227415,498.0185128204976,504.3168797954862,507.0,513.7455897435987,580.5020000000101,598.4926999998677,511.87892307694,518.0,531.8883076922788,467.02676923076416,534.8501538461651
-13.56,523.2247692307146,462.07543589727896,497.50945000001457,463.35553846153084,496.99287179485054,509.519692307797,507.6173846153938,515.5039000000102,581.5276410256458,582.5115897433492,512.9045641025663,517.4262051282,531.0,463.9754871794701,536.4507179487299
-13.52,520.7683887467605,451.01276923060715,498.0,461.1857435897313,495.9672307692263,515.7857948718123,508.0,516.771230769241,582.5532820512932,566.9699999996794,513.0,517.0,530.392871794868,461.9242051281754,537.4763589743773
-13.48,518.7190769230556,441.94439999997763,498.0,457.2689230768734,494.941589743579,522.8273846154373,508.0,518.5937435897766,583.0,552.4796923075982,513.9558461538587,516.3749230769052,529.3672307692208,459.9380499999797,538.0
-13.44,516.6677948717776,434.05266666663493,498.5737948718028,453.16635897428415,494.0,529.4718461539823,508.69430769232696,519.0,584.2091282051475,541.8240409206577,515.9629743590122,515.3492820512731,528.3415897435734,458.8729230768817,538.0
-13.4,514.6165128204829,427.0341538460889,499.0,450.04784615384,493.83189743586536,538.5134358975719,509.0,519.8481538461597,586.2289000000067,532.5127692306637,517.00712820513,514.3236410256341,527.315948717942,457.0,537.4467179487041
-13.36,513.2826153846108,421.0669230768372,499.0,446.98061538459933,492.0,547.1482051282494,509.7455897435983,520.873794871807,589.5208205128513,524.2506666665222,518.0327692307774,513.2979999999866,527.0,456.88517948716805,535.8421538461135
-13.32,510.77092307691026,416.36323076917523,499.65071794872966,444.9656359102109,491.8646666666594,557.4046153847227,510.7712307692456,522.7988717949087,593.6233846154406,515.0512307692203,519.0584102564247,512.2723589743392,527.0,455.85953846152404,533.790871794847
-13.28,509.2313333333227,413.2863076922881,500.0,444.0,491.0,567.388797954105,512.593743589786,523.0,598.4074358975374,505.80051282043905,520.0840512820702,511.2467179487095,526.2646666666537,454.8338974358967,531.7395897435707
