,Resp_wave,ACCVert,ACCLat,ACCLong,Jerk
-13.8,500.3529974358951,-842.0,-358.69930000022845,252.15792500013325,10.832930088267725
-13.76,501.0,-842.2331000000672,-370.5337999998655,254.17482500005045,11.377803060663451
-13.72,501.0,-841.4248250000451,-372.34207499989475,254.57517499995487,11.019468148085226
-13.68,501.0,-840.6748250000385,-365.6993000001538,255.32517499996155,10.777880325077025
-13.64,501.0,-843.6670749999674,-367.0,258.66707499996744,10.63090812787198
-13.6,501.0,-846.8882666667178,-371.33310000001916,254.7772333333781,9.740423965145787
-13.56,500.49572051282166,-845.6668999999122,-367.3331000000879,260.41707499984625,9.75554648669486
-13.52,500.0,-842.0,-364.7783999998399,253.11080000008005,10.297604184661022
-13.48,500.0,-841.4160250001977,-364.6668999999281,260.4160250001977,9.609921177570621
-13.44,499.418797435899,-847.333799999874,-371.0,252.666899999937,9.348696622898688
-13.4,499.0,-849.6668999999441,-373.0839749998463,254.2498250000419,9.427060240447227
-13.36,499.0,-848.441025000059,-367.56689999997855,257.0,9.516905535140182
-13.32,499.0,-840.8248250000107,-356.56689999998565,258.56689999998565,9.743906307817225
-13.28,499.681202564101,-841.5079250000095,-368.1337999999891,252.56689999999455,9.546255927813148
-13.24,499.3108275000017,-852.700699999968,-370.1337999999787,260.24207499998136,10.275511310742862
-13.2,499.0,-842.0,-367.0,250.9920749998477,9.84792480296858
-13.16,499.0,-843.5668999999485,-371.0,255.17517499996137,9.410862495606075
-13.120000000000001,499.0,-842.0,-374.0,254.0,9.419173460428118
-13.08,499.0,-849.56689999992,-367.0,254.0,9.463866256484343
-13.04,499.80733759590623,-846.0,-364.750874999829,257.0,9.285650411336158
-13.0,499.1675153846172,-844.5331000000385,-368.06620000007695,258.4668999999615,9.743104598312495
-12.96,499.8581256410241,-846.0,-372.25087499988234,259.46689999996863,10.178756876351045
-12.92,500.0,-849.4668999999775,-371.0,254.39982500001688,10.016211160537331
-12.879999999999999,500.0,-846.4668999999864,-371.0,253.5331000000136,10.57722706716852
-12.84,500.0,-844.5331000000065,-369.5331000000065,255.89982500000488,9.793600189447252
-12.8,500.0,-848.466899999957,-371.3170749999248,255.85017499996778,9.944662790838917
-12.76,500.0,-839.3998250000043,-364.46602500001563,254.39982500000426,9.43891652440356
