,AU807,AU805,AU802,AU806,AU812,AU803,AU808,AU813,AU814,AU811,AU804,AU810,AU809,AU801,AU815
-13.08,415.65984102564073,497.5241724999991,525.562387179488,508.0,513.8094076923069,490.0,511.2940230769223,496.6375948717964,483.4401769230754,538.2059769230768,518.2854461538468,537.0,501.0,436.0,499.0
-13.04,417.71112307692147,498.53761282051113,525.0,508.0,514.8350487179483,490.0,512.3196641025617,494.5863128205136,484.4658179487168,536.3606717948757,514.3871615384626,537.0,501.0,436.0,499.80733759590623
-13.0,419.7624051282003,499.56325384615246,524.5111051282054,508.92222820512717,515.8606897435895,490.0,513.3366724999981,492.76751538461554,485.0,534.309389743594,511.31023846154557,536.5233275000013,501.9427410256407,436.43248461538394,499.1675153846172
-12.96,421.4068435897415,500.5888948717938,524.0,508.0521307692315,516.8863307692309,490.8581256410242,514.6906102564078,491.7418743589749,485.0,532.2581076923113,508.23331538462156,535.5111051282073,501.03161794871795,437.91625128205055,499.8581256410242
-12.92,422.8649692307658,501.6145358974352,524.0,508.97351025640995,517.0,491.0,516.3709461538452,490.72332750000214,485.0,530.2068256410286,505.451655000003,533.9709282051319,501.99402307692054,439.96753333333334,500.0
-12.879999999999999,424.91625128204856,502.0,524.0,509.0,517.0,491.0,517.0,489.7162333333347,485.56581794871585,526.3110871794917,503.4375948717963,531.9196461538493,502.0,441.9933449999984,500.0
-12.84,426.9675333333312,503.3316358974358,524.0,508.9752076923103,516.0367461538478,491.0,517.422228205128,489.30940769230665,486.0,523.1563923076947,501.0794692307705,529.3025461538499,502.0,444.52822307691804,500.0
-12.8,428.5094076923069,505.3829179487144,523.3854641025649,508.05043333333106,516.0,491.96068974358957,518.0,490.0,486.0,519.1059589743609,498.335030769231,526.8170820512838,502.07094615384455,448.675243589737,500.0
-12.76,430.07009743589674,507.43419999999537,523.0,509.0,514.9709282051303,492.98633076923096,517.5264897435922,490.0,486.0,516.0025461538464,496.28374871795035,524.1487000000017,503.0,453.8034487179439,500.0
-12.72,432.1213794871794,509.48548205127815,523.0,509.0,512.9598230769238,493.0,517.0,490.3837666666643,486.0,511.9256230769227,494.6172148337617,521.7145179487184,503.0,458.93165384615054,501.0
-12.68,433.5863307692294,512.2992506393829,522.3085410256429,509.0,511.93418205128245,493.0,516.4752076923095,491.8188153846114,486.6940230769226,508.848700000007,493.18631282051547,518.9948538461535,503.2906102564095,463.447887179486,501.0350487179473
-12.64,435.223943589739,515.3743769230748,522.0,509.0,510.9085410256411,493.0376128205117,515.4495666666681,493.43504871794704,487.0,505.7717769230831,491.5675153846164,516.611953846157,505.0,467.5504512820512,501.94082750000103
-12.6,436.63761282051087,516.8170999999996,522.0,509.0,509.8831994884911,494.0,514.4239256410267,494.46068974358843,487.74530512820314,502.7965692307726,490.0837487179501,514.560671794876,505.17094615384457,472.3162692307613,501.0606897435896
-12.56,438.29334499999754,518.6854820512822,522.0,509.0,508.8633275000016,494.0,513.3982846153854,495.9726615384596,488.0,500.74528717948994,488.5162333333337,513.2546948717967,506.1965871794859,477.444474358963,502.0
-12.52,440.3265076923063,519.8683820512799,522.0,509.0,508.0,494.0,512.372643589744,497.51197179487116,488.0,498.8508275000009,487.49059230769234,511.4581076923106,507.0,482.57267948717003,502.11197179486936
-12.48,442.37778974358895,520.0,522.0,509.0,507.8341820512825,494.1401769230767,511.3470025641027,499.07522564102493,488.7996733167075,497.69400512820533,486.46495128205254,510.2034128205139,507.2478692307687,487.70088461537694,503.0
-12.44,443.7145358974359,518.2066550000026,522.0,509.0,507.0,495.0,510.3213615384633,501.68976153846154,489.819664102564,495.82181841432237,485.4393102564125,509.17777179487257,508.27351025641,493.5949076923005,503.1606897435887
-12.4,444.74017692307507,517.0803358974368,522.0,509.0,506.7829000000004,495.0,509.29572051282287,504.17778974358697,490.8453051282053,494.7982846153863,485.0,508.15213076923123,509.598302564101,499.7487538461485,504.18633076923
-12.36,446.5316358974314,515.109389743591,522.0,509.0,506.0,495.2170999999983,508.2883275000015,506.22907179486737,492.7418923076883,494.0,484.3880282051298,507.148327500002,511.32479230768985,505.90259999999677,505.2119717948714
-12.32,447.79145897435706,512.0871615384625,522.0,509.0,506.0,496.24274102563965,508.0,508.28035384615004,494.79317435897013,493.74700256410364,484.0,507.0,512.3504333333312,512.8991871794856,506.0
-12.28,449.63419999999684,510.0068256410255,522.0,509.0,506.0,497.536764102562,507.2444384615392,509.0,497.7666846153795,493.0,483.3533275000005,506.1031483375971,513.7521487179451,520.0786743589753,506.0
-12.24,450.8427410256398,507.9555435897487,522.9478692307679,509.0,506.0,499.2940230769224,507.0,509.0,500.84360769230364,492.69572051282086,483.66325384615385,505.0777717948726,515.4017153846139,527.9733799999874,506.0
-12.2,451.8683820512811,505.9042615384659,523.0,509.0,506.0,500.6393282051274,506.19315641025645,508.3085410256413,503.9205307692277,492.0,484.0,505.0,516.4273564102554,536.1521846153724,506.0
-12.16,452.89402307692245,503.9264897435916,523.0,509.0,506.0,502.3453051282051,506.0,507.2829,506.9974538461517,492.0,484.7145358974337,505.0,518.35899230769,543.4376487179406,505.66069309463063
-12.120000000000001,453.91966410256384,502.9008487179502,523.0,509.0,506.0,503.74189230769076,506.0,505.5145179487216,511.0743769230756,492.0,485.0,504.00084871794854,520.4786384615379,549.6718307692255,505.0
-12.08,455.8906102564104,501.8752076923089,523.0478692307669,509.0,506.42222820512825,505.77334499999597,506.0,503.4632358974403,514.1512999999994,492.0,485.0,504.0,522.0085589743586,553.8837846153825,505.3888948717945
-12.04,456.0,500.8495666666675,524.0,509.0,507.0,507.7931743589717,506.0,502.20597692307877,517.3035191815756,492.0,485.0,504.0,523.5299205128192,555.9880767263379,505.58546410256406
-12.0,457.99317435897,500.0,524.0991512820497,509.0,507.0,509.4222282051272,506.0,500.36067179487486,521.297453846149,492.0,483.3658000000018,503.9239256410274,525.083344999996,554.921343589752,505.0
-11.96,459.02161845386354,500.20171538461517,525.0,509.0,507.0,511.34360769230557,505.0393102564113,499.15469487179604,524.4991692307639,492.0,483.0,503.101715384614,526.5555615384601,550.72816923078,504.5598230769248
-11.92,460.01966410256387,501.22735641025594,525.0,509.56068974358794,507.5116724999988,513.9470205128198,505.0,498.1290538461547,528.4512999999971,492.5094076923071,481.26323589743635,503.8726435897446,527.5812025641014,544.3614846153977,504.0
-11.879999999999999,461.0453051282051,502.75899230768505,525.1504333333334,510.0,507.4752076923083,516.4974538461538,505.0,498.0,531.5150174999985,493.5216724999986,480.1059769230768,503.0,528.0,535.0341282051387,504.0
