,Resp_wave,ACCVert,ACCLat,ACCLong,Jerk
-15.0,520.0,-915.7420749998879,-190.2993000001922,162.26759999974374,15.563874831826146
-14.96,520.0,-931.7006999998291,-113.0,166.56689999994305,17.491697306005104
-14.92,520.0,-923.5668999999519,-134.8344999997596,199.0,17.709795421022577
-14.88,520.0,-991.9920749999283,-150.2993000001229,242.0,15.22381271329173
-14.84,520.0,-1034.257925000056,-197.26759999987163,250.0,15.754027288459605
-14.8,520.9008666666656,-910.3741250000937,-203.0,216.07482500001873,15.058289594862003
-14.76,522.4760743589742,-873.1337999999678,-164.0,191.0,13.258772240890943
-14.72,524.0034307692281,-917.0,-195.566899999991,175.433100000009,16.576487436363003
-14.68,525.0,-919.4331000000693,-196.73240000027707,166.4882666668514,16.44819580002047
-14.64,524.4470025641047,-905.0,-220.089199999955,148.0,16.176599436490363
-14.6,522.8427230769265,-922.8662000001387,-214.05897499980915,123.56689999993061,18.40077196689852
-14.56,520.1871615384658,-975.0,-241.5668999999377,117.0,17.68786498986977
-14.52,517.1150716112552,-987.0,-245.53310000002782,129.46689999997218,15.13159258977691
-14.48,515.3470025641027,-967.0,-222.0,177.10017499998446,16.001819840169958
-14.44,513.6427230769266,-979.0,-261.9337999999763,197.46689999998816,16.198433235335997
-14.4,512.2957205128229,-977.4006999999403,-282.99912500007457,150.93379999996023,15.63800833709223
-14.36,512.7116724999985,-923.5330999999959,-290.7508750000155,90.46690000000414,17.284374818880625
-14.32,513.0,-1006.0,-361.9677749997115,-1.4668999999392571,16.530452454912986
-14.28,513.7555615384608,-930.4146250008185,-433.9337999998129,-41.466899999906445,18.96224160267446
-14.24,514.0,-800.9329250001513,-375.59930000025935,18.933799999827105,20.10418791992148
-14.2,512.3863128205129,-764.9337999998448,-450.2839749997867,-8.466899999922434,20.722317829350015
-14.16,510.3350307692351,-894.4668999999295,-520.4668999999295,-36.86759999971816,20.732243709212213
-14.12,507.42562307693,-902.4146250005388,-524.5331000000616,17.53310000006158,20.393583492532848
