,Resp_wave,ACCVert,ACCLat,ACCLong,Jerk
-15.0,510.0,-850.0,-576.0000000000005,219.99999999999912,
-14.96,510.0,-840.5000000000024,-560.0000000000026,238.00000000000176,10.809449692317907
-14.92,510.1794871794872,-835.9999999999995,-563.7499999999992,242.0,10.192913074249141
-14.88,511.0,-846.0,-566.0,246.0,9.40252135856495
-14.84,511.225,-850.9999999999995,-569.0,245.00000000000045,10.90163292902004
-14.8,512.0,-842.0,-565.5000000000033,250.00000000000176,9.961650161133777
-14.76,512.2564102564103,-850.0,-560.7499999999987,246.0,11.66562287685701
-14.72,513.0,-858.0,-573.0,246.0,10.009632353283049
-14.68,513.6153846153846,-843.9999999999991,-565.7499999999983,245.00000000000045,11.727278819545637
-14.64,515.3333333333334,-843.3333333333326,-566.666666666668,247.33333333333255,11.214110062698307
-14.6,516.3589743589744,-850.0,-568.0000000000006,248.66666666666745,9.20756633487703
-14.56,517.3846153846154,-852.9999999999991,-560.0000000000018,242.0,8.222747046728498
-14.52,518.8205128205128,-846.0,-562.0,246.0,9.820650523709558
-14.48,520.4358974358975,-851.9999999999991,-562.9999999999995,246.0,8.147896702476572
-14.44,521.923076923077,-846.0,-559.4999999999958,246.0,11.63521999185379
-14.4,523.0,-848.9999999999991,-540.0000000000018,247.99999999999824,11.277299054306171
-14.36,522.4871794871794,-854.0,-534.0,242.0,9.735418836245653
-14.32,522.0,-840.7499999999992,-521.0000000000009,241.00000000000045,11.128796858306075
-14.28,520.3076923076923,-853.9999999999965,-534.0,247.99999999999912,10.75615771402017
-14.24,517.8205128205128,-857.0000000000005,-554.0,250.99999999999955,12.546843641036178
-14.2,515.1999999999999,-870.0,-558.0,246.0,11.297691692779406
-14.16,512.7692307692308,-847.9999999999991,-550.9999999999995,246.99999999999955,10.890149622777463
-14.12,510.7179487179487,-847.9999999999991,-547.9999999999974,251.99999999999912,13.603998989020942
-14.08,508.6666666666667,-860.0000000000009,-564.0000000000009,244.00000000000088,11.650713684658086
-14.04,508.0,-850.0,-597.0,230.0,15.457540214171754
-14.0,507.28205128205127,-842.9999999999995,-565.2500000000017,238.99999999999955,14.235668832101872
-13.96,507.0,-850.0,-567.4999999999993,243.99999999999912,8.606190946700714
-13.92,507.0,-842.9999999999995,-575.0000000000009,237.00000000000045,12.102190854373388
-13.879999999999999,506.2051282051282,-845.9999999999951,-562.0,233.99999999999824,11.634259788323238
-13.84,506.0,-847.2500000000013,-562.9999999999995,239.00000000000134,12.737372651999689
-13.8,505.1538461538462,-840.4999999999993,-570.9999999999991,240.00000000000088,11.874395398501129
-13.76,505.0,-842.9999999999995,-583.0000000000009,238.99999999999955,8.166923582176796
-13.72,505.0,-854.0,-573.0,234.0,11.194457044571326
-13.68,504.0769230769231,-852.9999999999986,-577.0,234.0,12.593044944161432
-13.64,504.0,-846.0,-566.9999999999994,235.33333333333255,9.927058362173781
-13.6,503.025641025641,-830.9999999999976,-552.6666666666674,242.0,11.941654875080811
-13.56,503.97499999999997,-844.9999999999991,-574.2499999999976,250.0,11.713752615304031
-13.52,504.0,-846.0,-585.0,250.0,10.70500264265022
-13.48,503.0,-845.0000000000005,-573.0,241.00000000000045,13.17036633965701
-13.44,503.0,-844.0000000000009,-553.9999999999982,237.99999999999824,12.010742606950677
-13.4,503.0,-847.9999999999982,-577.0,248.99999999999912,11.374030102707522
-13.36,503.0,-862.0,-566.0,234.0,8.411127599108653
-13.32,503.0,-855.0000000000014,-566.2500000000013,238.00000000000176,12.886058228585451
-13.28,503.1538461538462,-836.5000000000024,-560.0000000000009,234.0,10.60925990476017
-13.24,504.1794871794872,-842.0,-557.0000000000005,234.99999999999955,9.732908088923264
-13.2,505.20512820512823,-850.0,-566.0,246.0,8.380088191650895
-13.16,506.4615384615385,-848.0000000000009,-567.2500000000008,250.0,9.67257396654184
-13.120000000000001,508.7692307692307,-840.5000000000007,-554.0000000000035,242.0,8.585395313881694
-13.08,511.56410256410254,-842.2500000000017,-556.9999999999986,237.00000000000045,13.82386427472786
-13.04,513.6153846153846,-850.0,-566.0,238.0,11.134221770759622
