,AU811,AU808,AU802,AU807,AU804,AU809,AU810,AU806,AU803,AU819,AU814,AU816,AU813,AU818,AU815,AU812,AU817,AU820
-12.879999999999999,528.3846153846154,448.92307692307696,480.51282051282055,512.0,578.7948717948717,485.2307692307694,521.0512820512822,519.6923076923076,498.2307692307692,458.2820512820513,496.9999999999999,506.0,555.3589743589745,502.71794871794873,500.0,481.32500000000005,506.9230769230769,482.7435897435898
-12.84,525.3076923076923,452.0,481.53846153846155,512.0,574.4615384615385,491.6153846153847,524.6153846153846,516.6153846153845,499.0,459.3076923076923,494.92307692307696,506.0,557.6153846153846,503.0,500.0,482.0,506.0,483.7692307692308
-12.8,522.2307692307693,455.07692307692304,482.56410256410254,512.0,567.1794871794873,499.05128205128204,527.6923076923076,514.0256410256411,499.0,460.3333333333333,491.89743589743597,506.0,560.4615384615383,503.0,500.0,482.35897435897436,505.8717948717949,484.0
-12.76,519.1538461538462,458.5384615384616,483.5897435897436,512.974358974359,558.8461538461537,507.820512820513,531.3589743589744,511.974358974359,499.0,461.35897435897436,489.9230769230769,506.12820512820514,562.2564102564103,503.0,500.0,483.3846153846154,504.8461538461538,484.8205128205128
-12.72,516.0769230769232,462.23076923076917,484.6153846153846,513.0,549.6153846153846,518.384615384615,534.8461538461538,509.92307692307696,498.6666666666667,462.7692307692307,488.8974358974359,507.0,563.5641025641025,503.0,500.0,484.4102564102564,504.0,484.1538461538462
-12.68,513.0,465.30769230769226,485.0,513.0,540.5641025641027,529.6666666666666,538.5641025641027,507.87179487179486,498.35897435897436,464.4102564102564,487.7435897435897,507.0,565.0,503.0,500.974358974359,485.0,503.79487179487177,484.0
-12.64,509.92307692307696,468.3846153846153,485.0,513.0,532.3589743589745,540.9487179487178,542.5999999999999,506.4102564102564,499.0,465.87179487179486,485.84615384615387,507.0,565.0,503.0,501.0,485.46153846153845,503.0,484.89743589743586
-12.6,507.56410256410254,470.974358974359,485.6923076923077,513.0,524.3846153846154,551.846153846154,546.6666666666666,504.7692307692307,498.5897435897436,467.4615384615385,484.825,507.0,564.2820512820513,503.8974358974359,501.02500000000003,486.4871794871795,503.0,485.0
-12.56,506.2564102564103,473.5384615384615,486.0,513.0,517.2051282051282,561.2820512820513,550.076923076923,503.35897435897436,498.0,468.48717948717945,483.8205128205128,507.0,561.8461538461539,504.0,501.974358974359,487.5128205128205,503.0,485.0
-12.52,504.46153846153845,475.53846153846155,486.0,513.0,510.30769230769215,569.0512820512822,553.8717948717949,502.3333333333333,498.0,469.0,483.0,507.0,557.9487179487179,504.0,501.0,488.53846153846155,503.0,485.0
-12.48,503.20512820512823,477.6923076923076,486.7435897435897,513.0,504.15384615384613,574.3846153846154,556.4871794871794,501.3076923076923,498.0,469.5128205128205,482.7692307692308,506.71794871794873,552.875,504.97435897435895,501.0769230769231,489.56410256410254,503.0,485.0
-12.44,501.35897435897436,479.0,487.0,513.0,498.3333333333333,576.475,558.5384615384615,500.28205128205127,498.0,470.53846153846155,482.2564102564103,506.0,547.3846153846152,505.0,502.0,490.5897435897436,503.0,485.0
-12.4,501.0,479.6153846153846,487.0,513.0,493.2051282051283,576.025641025641,559.0,500.0,498.0,471.0,482.71794871794873,505.6666666666667,541.2307692307694,505.0,502.0,491.6153846153846,503.0,485.0
-12.36,500.15384615384613,480.0,487.8205128205128,513.0,488.4615384615384,572.9487179487179,558.1794871794872,499.25,498.0,471.5897435897436,482.0,505.0,535.076923076923,505.0,502.0,492.0,503.4102564102564,485.05128205128204
-12.32,499.12820512820514,479.35,488.0,513.0,484.7692307692308,568.3076923076924,555.4615384615385,498.2307692307692,498.0,472.6153846153846,482.0,505.0,528.923076923077,505.05128205128204,502.0,492.0,504.0,486.0
-12.28,498.1025641025641,479.0,488.8717948717949,513.0,481.2999999999999,562.6153846153845,551.5128205128204,497.2051282051282,497.4102564102564,473.64102564102564,482.0,505.0,523.3076923076922,506.0,502.0,492.69230769230774,504.0,486.10256410256414
-12.24,498.0,478.3076923076923,489.0,513.0,478.12820512820514,556.4615384615385,547.4102564102564,497.0,497.6153846153846,474.6666666666667,482.0,505.0,518.1794871794872,506.0,502.2307692307692,492.3,504.46153846153845,487.0
-12.2,496.10256410256403,477.28205128205127,489.9230769230769,513.3076923076924,476.07692307692304,549.6923076923075,543.3076923076923,496.15384615384613,498.0,476.3846153846155,482.0,505.0,513.051282051282,505.87179487179486,503.0,492.0,505.4871794871795,487.1538461538462
-12.16,496.0,476.2564102564103,490.94871794871796,514.3333333333334,474.025641025641,542.5128205128204,539.2051282051283,495.12820512820514,498.0,478.4358974358974,482.0,505.0,508.5384615384616,505.1538461538462,503.28205128205127,492.0,506.5128205128205,488.1794871794872
-12.120000000000001,495.00000000000006,475.2307692307692,491.0,515.0,471.974358974359,536.0000000000002,535.1025641025642,495.0,498.0,481.2307692307691,481.5641025641026,505.0,504.4358974358976,506.0,504.30769230769226,492.7692307692308,507.5384615384615,489.2051282051282
-12.08,494.974358974359,474.20512820512823,492.0,515.3846153846154,469.9230769230769,529.1538461538463,530.0,495.0,498.0,484.30769230769226,481.0,505.53846153846155,501.6666666666667,506.0,505.6666666666667,493.0,508.5641025641026,490.0
-12.04,494.0,474.0,492.02564102564105,516.4102564102565,467.87179487179486,522.6923076923076,526.8749999999999,494.05128205128204,498.0,488.97435897435906,481.0,506.0,498.92307692307685,506.2307692307692,508.07692307692315,493.0,509.5897435897436,490.2564102564103
-12.0,494.0,473.1538461538462,493.0,517.0,466.4102564102564,516.5384615384615,521.8974358974359,494.0,498.0,494.10256410256414,481.5128205128205,506.0,495.8461538461538,507.2564102564103,511.1538461538462,493.8461538461538,510.6153846153846,491.28205128205127
-11.96,494.0,473.0,493.07499999999993,517.0,465.3846153846154,509.6153846153847,517.7948717948719,493.0,498.0,500.92307692307685,481.4615384615385,506.5897435897436,493.51282051282055,508.28205128205127,515.0,494.0,511.64102564102564,492.30769230769226
-11.92,493.87179487179486,472.1025641025641,494.0,517.0,465.0,503.2307692307691,513.7692307692307,493.974358974359,498.0,508.97435897435884,481.55,507.0,492.2307692307692,509.61538461538464,520.4615384615385,494.0,512.0,493.65000000000003
-11.879999999999999,493.0,472.0,494.10256410256414,517.0,465.0,497.8974358974358,510.5897435897435,493.05128205128204,498.0,518.7500000000002,482.0,507.64102564102564,490.41025641025635,511.33333333333337,526.6153846153849,494.0,512.6923076923077,495.66666666666674
-11.84,493.1794871794872,471.05128205128204,495.0,516.4615384615385,465.6923076923077,492.76923076923083,506.7435897435897,494.0,498.0,528.9743589743591,482.0,507.3333333333333,489.2,512.7179487179487,533.6923076923078,494.0,512.2820512820513,498.07692307692304
-11.8,494.0,471.0,495.0,515.4358974358975,466.7179487179487,488.6,504.53846153846166,493.8974358974359,498.87179487179486,540.1538461538461,482.0,507.0,488.1794871794872,515.1249999999999,541.8974358974358,494.0,512.7435897435897,501.1538461538461
-11.76,494.20512820512823,471.0,495.1794871794872,514.425,467.0,484.51282051282044,501.64102564102564,493.0,499.8974358974359,551.4358974358972,482.0,507.71794871794873,487.1538461538462,517.7692307692308,549.076923076923,493.0,512.2307692307693,504.64102564102564
