,Time_1,Resp_wave,ACCVert,ACCLat,ACCLong,Jerk
-15.0,-15.0,498.3658461539392,-881.0,-337.12199999992225,152.24399999984448,11.5962516656846
-14.96,-14.96,504.2664102564897,-870.0,-333.96349999940384,147.365999998978,10.687148459643335
-14.92,-14.92,509.1156923077116,-878.2134999989406,-339.1219999993947,140.48799999757864,11.514374779751856
-14.88,-14.88,513.2182564103008,-880.3414999994985,-339.8780000006686,148.0,11.535182922739931
-14.84,-14.84,516.9906153846678,-871.1706666676079,-336.9513333316862,148.0,11.143509591074723
-14.8,-14.8,520.0648081842087,-878.0,-340.49599999946497,158.50400000053506,10.833743435864127
-14.76,-14.76,522.7578461538782,-874.0,-341.77800000031897,145.221999999681,12.395229860198482
-14.72,-14.72,525.2136923077159,-866.2219999994181,-335.0,156.2219999994181,11.008703463381066
-14.68,-14.68,527.8604102564386,-881.0,-342.2219999993303,165.55600000133936,10.821814656093759
-14.64,-14.64,529.455846153856,-879.33350000015,-343.0,153.77800000019997,11.214501808393756
-14.6,-14.6,530.9629743589813,-871.2219999995353,-338.665999998606,154.77800000046466,11.043031375270903
-14.56,-14.56,532.507128205138,-871.0544999965441,-339.0,156.22199999927244,10.324411501641901
-14.52,-14.52,532.4672307692147,-884.2219999999172,-343.0,156.77800000008273,10.984120362887039
-14.48,-14.48,531.4430179027938,-868.321999999859,-337.321999999859,157.678000000141,11.29842989828353
-14.44,-14.44,530.4185128205029,-882.6865000007099,-343.034000001217,157.35600000081135,11.454036023453995
-14.4,-14.4,528.2241499999902,-870.0,-346.6780000006686,167.35600000133715,11.525103421452
-14.36,-14.36,525.7857435897287,-866.6780000000238,-324.0,134.18650000004158,11.421054173841453
-14.32,-14.32,523.101692307651,-900.3560000005733,-356.67800000028666,156.64399999942668,11.946522792488436
-14.28,-14.28,520.0247692307089,-874.0,-328.0,125.0,12.261049927111486
-14.24,-14.24,517.6318974358766,-878.0,-342.3560000016285,151.35600000162847,12.01976539682515
-14.2,-14.2,514.8709230768948,-880.491499999873,-333.8645000004659,142.8134999997035,12.336671135119293
