,Time_1,HR1bt,Resp_wave,Jerk,HR10bt,HR30bt,Resp_BPM,sResp_BPM,ACCVert,ACCLat,ACCLong
-15.0,-15.0,55.93699425948905,498.3658461539392,10.156962833569963,63.207327724997306,61.18938167299239,31.989763275762083,17.627591718180504,-881.0,-337.12199999992225,152.24399999984448
-14.96,-14.96,56.164799957175205,504.2664102564897,11.74742034493855,63.26980985739298,61.160650445916325,31.989763275762083,17.56237671088932,-870.0,-333.96349999940384,147.365999998978
-14.92,-14.92,56.39260565486138,509.1156923077116,12.192683840244879,63.332291989788644,61.13191921884025,31.989763275762083,17.49716170359813,-878.2134999989406,-339.1219999993947,140.48799999757864
-14.88,-14.88,56.620411352547535,513.2182564103008,10.38109837776344,63.39477412218431,61.10318799176418,31.989763275762083,17.431946696306944,-880.3414999994985,-339.8780000006686,148.0
-14.84,-14.84,56.8482170502337,516.9906153846678,12.115331579447123,63.45725625457998,61.07445676468811,31.989763275762083,17.366731689015758,-871.1706666676079,-336.9513333316862,148.0
-14.8,-14.8,57.076022747919865,520.0648081842087,11.154544269516219,63.51973838697565,61.045725537612036,31.989763275762083,17.30151668172457,-878.0,-340.49599999946497,158.50400000053506
-14.76,-14.76,57.30382844560603,522.7578461538782,9.886247676288695,63.58222051937131,61.016994310535964,31.989763275762083,17.236301674433385,-874.0,-341.77800000031897,145.221999999681
-14.72,-14.72,57.53163414329219,525.2136923077159,12.55206126982193,63.644702651766984,60.98826308345989,31.989763275762083,17.171086667142198,-866.2219999994181,-335.0,156.2219999994181
-14.68,-14.68,57.75943984097836,527.8604102564386,13.075600703397479,63.70718478416265,60.95953185638382,31.989763275762083,17.105871659851008,-881.0,-342.2219999993303,165.55600000133936
-14.64,-14.64,57.98724553866452,529.455846153856,9.884423902362526,63.769666916558315,60.930800629307754,31.989763275762083,17.04065665255982,-879.33350000015,-343.0,153.77800000019997
-14.6,-14.6,58.21505123635068,530.9629743589813,8.832770043271413,63.83214904895399,60.90206940223168,31.989763275762083,16.975441645268635,-871.2219999995353,-338.665999998606,154.77800000046466
-14.56,-14.56,58.44285693403684,532.507128205138,11.609343757165883,63.89463118134965,60.87333817515561,31.989763275762083,16.91022663797745,-871.0544999965441,-339.0,156.22199999927244
-14.52,-14.52,58.67066263172301,532.4672307692147,11.428637834136056,63.95711331374532,60.84460694807954,31.989763275762083,16.84501163068626,-884.2219999999172,-343.0,156.77800000008273
-14.48,-14.48,58.89846832940917,531.4430179027938,10.64201644598028,64.01959544614098,60.815875721003465,31.989763275762083,16.779796623395075,-868.321999999859,-337.321999999859,157.678000000141
-14.44,-14.44,59.126274027095334,530.4185128205029,11.72204413552008,64.08207757853665,60.78714449392739,31.989763275762083,16.714581616103885,-882.6865000007099,-343.034000001217,157.35600000081135
-14.4,-14.4,59.35407972478149,528.2241499999902,11.53817467447811,64.14455971093233,60.75841326685132,31.989763275762083,16.6493666088127,-870.0,-346.6780000006686,167.35600000133715
-14.36,-14.36,59.581885422467664,525.7857435897287,11.976528746438275,64.20704184332799,60.72968203977525,31.989763275762083,16.584151601521512,-866.6780000000238,-324.0,134.18650000004158
-14.32,-14.32,59.80969112015382,523.101692307651,11.78951508346736,64.26952397572366,60.70095081269918,31.989763275762083,16.518936594230325,-900.3560000005733,-356.67800000028666,156.64399999942668
-14.28,-14.28,60.03749681783999,520.0247692307089,11.128509764372971,64.33200610811933,60.67221958562311,31.989763275762083,16.45372158693914,-874.0,-328.0,125.0
-14.24,-14.24,60.265302515526145,517.6318974358766,12.709432218436742,64.39448824051499,60.64348835854704,31.989763275762083,16.388506579647952,-878.0,-342.3560000016285,151.35600000162847
-14.2,-14.2,60.49310821321232,514.8709230768948,12.390249294594765,64.45697037291066,60.61475713147097,31.989763275762083,16.323291572356762,-880.491499999873,-333.8645000004659,142.8134999997035
-14.16,-14.16,60.720913910898474,512.5330946291323,11.350877134538818,64.51945250530633,60.586025904394894,31.989763275762083,16.25807656506558,-874.0,-327.1560000004554,139.76150000039846
-14.12,-14.12,60.94871960858464,510.4831794871458,12.593557141396811,64.58193463770199,60.55729467731882,31.989763275762083,16.19286155777439,-875.4219999995076,-341.8439999990153,150.84399999901527
